INFO 2015-09-28 21:26:10,915 writers 25993 -1261003888 starting to write bonus for sale #5542
INFO 2015-09-28 21:26:10,966 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 6-2015
INFO 2015-09-28 21:26:11,894 writers 25993 -1261003888 starting to write bonus for sale #5469
INFO 2015-09-28 21:26:11,912 writers 25993 -1261003888 starting to write bonus for sale #5470
INFO 2015-09-28 21:26:11,930 writers 25993 -1261003888 starting to write bonus for sale #5471
INFO 2015-09-28 21:26:11,976 writers 25993 -1261003888 starting to write bonus for sale #5472
INFO 2015-09-28 21:26:11,994 writers 25993 -1261003888 starting to write bonus for sale #5473
INFO 2015-09-28 21:26:12,012 writers 25993 -1261003888 starting to write bonus for sale #5474
INFO 2015-09-28 21:26:12,030 writers 25993 -1261003888 starting to write bonus for sale #5475
INFO 2015-09-28 21:26:12,077 writers 25993 -1261003888 starting to write bonus for sale #5476
INFO 2015-09-28 21:26:12,095 writers 25993 -1261003888 starting to write bonus for sale #5502
INFO 2015-09-28 21:26:12,117 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 5-2015
INFO 2015-09-28 21:26:12,589 writers 25993 -1261003888 starting to write bonus for sale #5398
INFO 2015-09-28 21:26:12,608 writers 25993 -1261003888 starting to write bonus for sale #5399
INFO 2015-09-28 21:26:12,626 writers 25993 -1261003888 starting to write bonus for sale #5403
INFO 2015-09-28 21:26:12,672 writers 25993 -1261003888 starting to write bonus for sale #5404
INFO 2015-09-28 21:27:46,509 writers 25993 -1261003888 starting zilberAddsFlows
INFO 2015-09-28 21:28:10,606 writers 25993 -1261003888 starting zilberBonusFlows
DEBUG 2015-09-28 21:28:10,607 writers 25993 -1261003888 {'base_madad': 126.90000000000001}
INFO 2015-09-28 21:28:10,607 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - זילברמינץ במודיעין  בגיו חודש 8-2015
